#{"t_start": 1707149863.9127913, "env_id": "None"}
r,l,t
-281.533647,2835,5.737933
113.841159,1258,7.428051
-2446.091521,7440,21.612992
-1886.888302,9954,38.423456
-2744.832615,7425,49.503728
-1549.999351,4361,56.269184
-1513.647747,4546,63.036323
-494.506301,6216,72.010226
-406.630857,342,72.522217
-3326.476753,7439,84.28627
-1174.335985,4341,90.558815
-1627.910267,4350,96.919611
-3009.753271,4942,103.912387
-6205.975031,7580,115.094929
374.142704,3715,120.629844
-1055.10183,2129,123.805853
-1666.22712,10000,138.719576
-329.759769,1269,140.64664
-1358.594597,1880,143.139299
-145.269336,1262,145.106386
-411.361884,1270,147.004285
-682.876705,1264,148.733481
-570.767776,1266,150.685006
-914.406271,1881,153.575617
-201.45831,1873,156.406354
-608.56659,1871,158.026956
-379.130655,1871,160.016984
-181.67911,1874,161.617133
-1494.45368,1868,163.20047
-1373.637637,1869,164.786735
-56.487978,1874,166.385635
